Date,Exchange_Close,Exchange_High,Exchange_Low,Exchange_Open,Brent_Close,Brent_High,Brent_Low,Brent_Open,Brent_Volume,Exchange_Change,Brent_Range,Year,Exchange_Return,Rolling_Volatility,Brent_Return,Brent_Return_Lag1
2023-01-11,449.5799865722656,451.1000061035156,449.5799865722656,449.5799865722656,82.66999816894531,82.97000122070312,79.30000305175781,79.58999633789062,29995,0.0,3.6699981689453125,2023,6.673068648965774e-05,0.0005869293578337901,0.03208489068391862,0.00564967909129277
2023-01-12,451.1000061035156,451.6300048828125,451.1000061035156,451.1000061035156,84.02999877929688,84.61000061035156,82.37999725341797,82.86000061035156,29360,0.0,2.2300033569335938,2023,0.003380976859844509,0.0007734081603205212,0.01645095730584445,0.03208489068391862
2023-01-13,451.6300048828125,452.0899963378906,451.6300048828125,451.6300048828125,85.27999877929688,85.48999786376953,83.48999786376953,83.94999694824219,17857,0.0,2.0,2023,0.0011749030639012226,0.0007767043340223104,0.014875639868603407,0.01645095730584445
2023-01-17,452.1199951171875,453.0799865722656,452.1199951171875,452.1199951171875,85.91999816894531,86.81999969482422,83.86000061035156,85.44000244140625,36658,0.0,2.9599990844726562,2023,0.0010849372917598465,0.0007725452245797264,0.007504683381911681,0.014875639868603407
2023-01-18,453.0799865722656,460.0,453.0799865722656,453.0799865722656,84.9800033569336,87.83999633789062,84.4000015258789,86.72000122070312,26461,0.0,3.4399948120117188,2023,0.002123311212611334,0.0008084006829228368,-0.010940349534963922,0.007504683381911681
2023-01-19,453.0799865722656,460.0,453.0799865722656,453.0799865722656,86.16000366210938,86.8499984741211,83.73999786376953,84.58999633789062,28822,0.0,3.1100006103515625,2023,0.0,0.0008180849382654946,0.013885623188546248,-0.010940349534963922
2023-01-20,460.0,454.55999755859375,453.0799865722656,453.0799865722656,87.62999725341797,87.7699966430664,85.58000183105469,86.36000061035156,24374,6.920013427734375,2.1899948120117188,2023,0.015273271017965495,0.002784294865199195,0.017061206230601034,0.013885623188546248
2023-01-23,454.55999755859375,460.0,454.55999755859375,454.55999755859375,88.19000244140625,89.0999984741211,86.93000030517578,87.80999755859375,21194,0.0,2.1699981689453125,2023,-0.011826092263926613,0.0036602750665055946,0.006390564938268728,0.017061206230601034
2023-01-24,454.55999755859375,454.57000732421875,454.55999755859375,454.55999755859375,86.12999725341797,88.70999908447266,85.80999755859375,88.02999877929688,26572,0.0,2.9000015258789062,2023,0.0,0.0036602750665055946,-0.02335871562490266,0.006390564938268728
2023-01-25,454.57000732421875,459.4700012207031,459.29998779296875,459.30999755859375,86.12000274658203,87.01000213623047,85.41000366210938,86.30000305175781,19993,-4.739990234375,1.5999984741210938,2023,2.2020779828269e-05,0.0036620910740658126,-0.0001160397904870214,-0.02335871562490266
2023-01-26,459.4700012207031,459.7799987792969,459.4700012207031,459.4700012207031,87.47000122070312,88.01000213623047,85.77999877929688,86.12999725341797,14187,0.0,2.2300033569335938,2023,0.010779404310741203,0.004089289035256091,0.015675782989622356,-0.0001160397904870214
2023-01-27,459.7799987792969,459.79998779296875,459.7799987792969,459.7799987792969,86.66000366210938,88.91000366210938,85.68000030517578,87.5999984741211,10012,0.0,3.2300033569335938,2023,0.000674685088841942,0.004087970301963769,-0.009260289782664799,0.015675782989622356
2023-01-30,459.7799987792969,460.0,459.7799987792969,459.7799987792969,84.9000015258789,87.37000274658203,84.75,86.80000305175781,5879,0.0,2.6200027465820312,2023,0.0,0.0040908167876849795,-0.020309278350515436,-0.009260289782664799
2023-01-31,459.9100036621094,460.0199890136719,459.9100036621094,459.9100036621094,84.48999786376953,85.16000366210938,83.69000244140625,85.16000366210938,30498,0.0,1.470001220703125,2023,0.00028275454164528036,0.004091184507080775,-0.004829253883869455,-0.020309278350515436
2023-02-01,460.0199890136719,460.04998779296875,460.0,460.0199890136719,82.83999633789062,86.19999694824219,82.37000274658203,85.5199966430664,28085,0.0,3.8299942016601562,2023,0.0002391453777623731,0.004089179185355176,-0.01952895688954026,-0.004829253883869455
2023-02-02,460.0199890136719,460.0400085449219,460.0199890136719,460.0199890136719,82.16999816894531,83.5999984741211,81.23999786376953,83.08999633789062,24611,0.0,2.3600006103515625,2023,0.0,0.004089389096660271,-0.008087858505117507,-0.01952895688954026
2023-02-03,460.0400085449219,460.0400085449219,460.0299987792969,460.0400085449219,79.94000244140625,84.19000244140625,79.62000274658203,82.1500015258789,24743,0.0,4.569999694824219,2023,4.3518829025090966e-05,0.004094090564720946,-0.027138807073526894,-0.008087858505117507
2023-02-06,460.0400085449219,460.04998779296875,459.20001220703125,460.0400085449219,80.98999786376953,81.4000015258789,79.08999633789062,79.75,31365,0.0,2.3100051879882812,2023,0.0,0.004094090564720946,0.013134793473804196,-0.027138807073526894
2023-02-07,459.20001220703125,459.9200134277344,459.20001220703125,459.20001220703125,83.69000244140625,84.0999984741211,81.18000030517578,81.4000015258789,24432,0.0,2.9199981689453125,2023,-0.001825920185827945,0.0041241950980358665,0.03333750646812339,0.013134793473804196
2023-02-08,459.9200134277344,459.95001220703125,459.9200134277344,459.9200134277344,85.08999633789062,85.16000366210938,83.5,84.02999877929688,29853,0.0,1.660003662109375,2023,0.0015679468675156016,0.00412446931017495,0.01672832901952126,0.03333750646812339
2023-02-09,459.9200134277344,459.9700012207031,459.8999938964844,459.9200134277344,84.5,85.5,83.05999755859375,85.06999969482422,30520,0.0,2.44000244140625,2023,0.0,0.004124844002509369,-0.006933792023538943,0.01672832901952126
